company Name,link,established,members,address
AIQ株式会社,http://aiqlab.com,Founded on 2017/07,17 members,東京都千代田区外神田三丁目13番2号 LIFORK秋葉原Ⅱ・RB1C
株式会社リクシィ,http://rexit.co.jp,Founded on 2016/05,15 members,東京都中央区銀座7-15-4 三島ビル6F
株式会社マチマチ,http://www.machimachi.co.jp/,Founded on 2015/10,10 members,〒152-0004 東京都目黒区鷹番2-15-18 パル学芸大学 201号室
ヘイ株式会社,https://hey.jp,Founded on 2018/02,"Funded more than $300,000 /

Featured on TechCrunch /

Funded more than $1,000,000 /",None
株式会社BUZZCAST,https://www.buzzcast.bz/,Founded on 2015/04,20 members,東京都豊島区高松1-10-2 NH西池袋ビル6F
atama plus株式会社,https://www.atama.plus/company/,Founded on 2017/04,50 members,東京都中央区日本橋堀留町1-8-12 さくら堀留ビル7F
株式会社Splink,http://www.splinkns.com,Founded on 2017/01,10 members,東京都港区赤坂2-9-3
エンタライズ株式会社,https://www.entalize.co.jp,Founded on 2006/04,60 members,豊島区南大塚2-37-5
株式会社クラウドワークス,http://crowdworks.co.jp,Founded on 2011/11,288 members,東京都渋谷区恵比寿4-20-3 恵比寿ガーデンプレイスタワー6階
株式会社LIG,https://liginc.co.jp/works/,Founded on 2007/06,230 members,東京都台東区東上野2-18-7 共同ビル 10F
マネックス証券株式会社,https://www.monex.co.jp,Founded on 1999/05,314 members,東京都港区赤坂1-12-32 アーク森ビル25階
株式会社アドベンチャー,https://jp.adventurekk.com,Founded on 2006/12,108 members,東京都渋谷区恵比寿4-20-3 恵比寿ガーデンプレイスタワー24F
株式会社エブリー,https://corp.every.tv/,Founded on 2015/09,300 members,東京都港区六本木3-2-1 住友不動産六本木グランドタワー38階
クックパッド株式会社,https://cookpad.com,Founded on 1997/10,500 members,東京都渋谷区恵比寿4-20-3　 恵比寿ガーデンプレイスタワー12F
トレンダーズ株式会社,http://trenders.co.jp,Founded on 2000/04,東京都渋谷区東3-16-3 エフ・ニッセイ恵比寿ビル8F,None
株式会社アイスマイリー,https://aismiley.co.jp,Founded on 2018/03,5 members,東京都 渋谷区恵比寿西1-9-6　アストゥルビル8F
アグリホールディングス株式会社,https://agri-hd.com/,Founded on 2014/07,20 members,東京都港区南青山5-4-35
株式会社フロムスクラッチ,https://f-scratch.co.jp,Founded on 2010/04,200 members,〒160-0023 東京都新宿区西新宿7丁目20番1号 住友不動産西新宿ビル26階
